country,region,population,yearly_change,net_change,density,land_area,net_migrants,fertility_rate,median_age,population_urban,world_share,long_term_avg_growth,initial_pop_1950,final_pop_2023,long_term_growth_multiple
Afghanistan,Asia,42239854,2.7,1111083,65,652860,-65846,4.4,17.0,26.0,0.53,2.4576476472867523,7480461.0,42239854.0,5.646691293491137
Albania,Europe,2832439,-0.35,-9882,103,27400,-8000,1.4,38.0,67.0,0.04,1.1366501285189916,1252582.0,2832439.0,2.2612802994135315
Algeria,Africa,45606480,1.57,703255,19,2381740,-9999,2.8,28.0,75.0,0.57,2.247235952160108,9019866.0,45606480.0,5.056225890717224
American Samoa,Oceania,43914,-0.81,-359,220,200,-790,2.2,29.0,50.47368421052632,0.0,1.1703213318413321,19032.0,43914.0,2.307377049180328
Andorra,Europe,80088,0.33,264,170,470,200,1.1,43.0,85.0,0.0,3.6749426485845853,6005.0,80088.0,13.336885928393006
Angola,Africa,36684202,3.08,1095215,29,1246700,-1000,5.1,16.0,68.0,0.46,2.9270975024945995,4478184.0,36684202.0,8.191758534262997
Anguilla,Latin America,15899,0.26,42,177,90,0,1.3,38.0,98.0,0.0,1.5995126868551597,5017.0,15899.0,3.169025313932629
Antigua and Barbuda,Latin America,94298,0.57,535,214,440,0,1.6,36.0,28.0,0.0,1.0086315955569276,45435.0,94298.0,2.075448442830417
Argentina,Latin America,45773884,0.58,263566,17,2736690,3718,1.9,32.0,94.0,0.57,1.3652626593734736,17017742.0,45773884.0,2.689774236793577
Armenia,Asia,2777970,-0.09,-2499,98,28470,-5000,1.6,35.0,67.0,0.03,0.9734533653142516,1385041.0,2777970.0,2.005695138266665
Aruba,Latin America,106277,-0.16,-168,590,180,157,1.2,42.0,45.0,0.0,1.3978958177964413,38797.0,106277.0,2.739309740443849
Australia,Oceania,26439111,1.0,261698,3,7682300,139991,1.6,38.0,86.0,0.33,1.6217187255347976,8177167.0,26439111.0,3.233284950643664
