year,population,growth_rate
1950,2481817376,
1951,2524683536,1.7272084728928938
1952,2570831995,1.8278908362952873
1953,2619799626,1.9047386641848574
1954,2670413031,1.9319571045697925
1955,2723369696,1.9830889223967363
1956,2777113967,1.9734474933365886
1957,2832738990,2.0029794837728376
1958,2889686427,2.0103312448140453
1959,2942534679,1.82885767487464
1960,2990127503,1.617409111255541
1961,3037933052,1.5987796156530676
1962,3094924828,1.8760050015743435
1963,3162680244,2.189242704281935
1964,3232778523,2.2164200485643493
1965,3301365841,2.12162130848208
1966,3369388919,2.0604525907190974
1967,3437140481,2.010796723938535
1968,3507247692,2.039695828190391
1969,3579877853,2.0708591858416225
1970,3653428366,2.054553703232176
1971,3727048146,2.015087545854999
1972,3800565475,1.9725349960638905
1973,3874944999,1.9570646654890167
1974,3949230419,1.9170703072990847
1975,4022277015,1.8496412781732863
1976,4094532455,1.7963814956190927
1977,4167042812,1.7709068812351125
1978,4240213996,1.7559498978336974
1979,4315441269,1.7741385946786092
1980,4393193972,1.801732387335142
1981,4473126950,1.819472996399707
1982,4555768972,1.8475223914671046
1983,4638687132,1.8200694659808114
1984,4721680646,1.7891595539494043
1985,4806896141,1.8047704067446935
1986,4894556440,1.8236362182304955
1987,4984865343,1.8450886021451174
1988,5075669202,1.8215910110292333
1989,5166699037,1.7934548406765893
1990,5258910416,1.7847251860356517
1991,5348789495,1.709081765807352
1992,5435129660,1.614200092950191
1993,5519899961,1.5596739416148475
1994,5603305996,1.5110062789052803
1995,5685966298,1.4752059241277982
1996,5768115812,1.4447766605457213
1997,5849757798,1.4154012967311003
1998,5931121555,1.3908910387335771
1999,6012339869,1.3693584467432185
2000,6094322322,1.3635698378048566
2001,6177117617,1.358564424810882
2002,6259936578,1.3407379644524653
2003,6342818149,1.3240001710445481
2004,6426221313,1.3149228314727868
2005,6510309796,1.3085214296913783
2006,6595370594,1.3065553048222434
2007,6681913161,1.3121714051782085
2008,6769761501,1.3147183730662704
2009,6858841222,1.3158472567584845
2010,6948662155,1.3095642557214404
2011,7038856243,1.2980065225231874
2012,7130237075,1.2982341000482345
2013,7222044615,1.2875804694053583
2014,7313407593,1.2650569592195682
2015,7403898399,1.237327536436128
2016,7493782725,1.2140134987824736
2017,7583332885,1.1949927464703691
2018,7670550661,1.1501245866776921
2019,7755033886,1.1013971321452098
2020,7834661152,1.0267816642780758
2021,7906957029,0.9227696718133727
2022,7976923927,0.8848776810520764
2023,8051283789,0.9321871774194745
