,Asia,Europe,Africa,Oceania,Latin America,North America
1950,55.57,22.11,9.17,0.51,6.11,6.53
1951,55.68,21.93,9.21,0.52,6.14,6.53
1952,55.82,21.73,9.24,0.52,6.17,6.52
1953,55.97,21.53,9.27,0.52,6.2,6.51
1954,56.12,21.33,9.3,0.52,6.22,6.5
1955,56.29,21.13,9.32,0.52,6.24,6.5
1956,56.44,20.92,9.35,0.53,6.27,6.49
1957,56.61,20.71,9.37,0.53,6.29,6.48
1958,56.77,20.51,9.39,0.53,6.32,6.48
1959,56.85,20.34,9.44,0.53,6.35,6.49
1960,56.84,20.22,9.51,0.54,6.41,6.49
1961,56.81,20.1,9.58,0.54,6.47,6.5
1962,56.91,19.92,9.64,0.54,6.51,6.48
1963,57.15,19.67,9.67,0.54,6.53,6.44
1964,57.4,19.42,9.7,0.54,6.56,6.39
1965,57.62,19.18,9.74,0.54,6.58,6.35
1966,57.83,18.94,9.78,0.54,6.62,6.29
1967,58.04,18.7,9.84,0.54,6.65,6.23
1968,58.26,18.46,9.89,0.54,6.68,6.18
1969,58.5,18.2,9.95,0.54,6.7,6.12
1970,58.73,17.93,10.0,0.54,6.73,6.07
1971,58.92,17.68,10.06,0.54,6.75,6.03
1972,59.1,17.45,10.13,0.54,6.78,5.99
1973,59.28,17.22,10.2,0.54,6.81,5.93
1974,59.44,17.0,10.28,0.54,6.85,5.88
1975,59.57,16.79,10.38,0.54,6.89,5.83
1976,59.67,16.58,10.49,0.54,6.94,5.78
1977,59.77,16.37,10.6,0.54,6.98,5.74
1978,59.84,16.17,10.72,0.53,7.03,5.71
1979,59.91,15.96,10.84,0.53,7.08,5.67
1980,60.0,15.75,10.96,0.53,7.12,5.64
1981,60.1,15.53,11.08,0.53,7.16,5.6
1982,60.22,15.31,11.21,0.52,7.19,5.56
1983,60.33,15.09,11.33,0.52,7.21,5.52
1984,60.44,14.89,11.44,0.52,7.23,5.47
1985,60.55,14.68,11.56,0.52,7.26,5.43
1986,60.66,14.47,11.68,0.52,7.28,5.39
1987,60.77,14.27,11.8,0.52,7.3,5.34
1988,60.88,14.08,11.91,0.52,7.32,5.3
1989,60.98,13.88,12.02,0.52,7.34,5.27
1990,61.06,13.68,12.13,0.51,7.36,5.25
1991,61.13,13.49,12.25,0.52,7.39,5.23
1992,61.18,13.3,12.36,0.51,7.42,5.22
1993,61.22,13.12,12.48,0.51,7.46,5.21
1994,61.25,12.94,12.61,0.51,7.49,5.2
1995,61.28,12.75,12.74,0.51,7.53,5.19
1996,61.29,12.57,12.88,0.52,7.56,5.18
1997,61.3,12.4,13.01,0.52,7.6,5.17
1998,61.31,12.23,13.15,0.52,7.64,5.16
1999,61.31,12.06,13.29,0.52,7.67,5.15
2000,61.3,11.9,13.44,0.52,7.7,5.14
2001,61.29,11.74,13.59,0.52,7.74,5.13
2002,61.27,11.58,13.75,0.52,7.77,5.11
2003,61.24,11.44,13.91,0.52,7.8,5.09
2004,61.19,11.3,14.08,0.52,7.83,5.07
2005,61.14,11.17,14.25,0.53,7.86,5.06
2006,61.08,11.04,14.43,0.53,7.89,5.04
2007,61.0,10.92,14.61,0.53,7.91,5.02
2008,60.92,10.8,14.8,0.53,7.94,5.01
2009,60.83,10.69,14.99,0.54,7.96,4.99
2010,60.75,10.57,15.19,0.54,7.99,4.97
2011,60.66,10.45,15.38,0.54,8.02,4.95
2012,60.56,10.34,15.58,0.54,8.05,4.93
2013,60.46,10.22,15.79,0.55,8.08,4.91
2014,60.35,10.11,16.0,0.55,8.1,4.89
2015,60.23,10.0,16.22,0.55,8.13,4.87
2016,60.11,9.89,16.44,0.55,8.16,4.85
2017,59.98,9.79,16.66,0.56,8.18,4.83
2018,59.84,9.69,16.89,0.56,8.21,4.81
2019,59.69,9.6,17.12,0.56,8.23,4.8
2020,59.53,9.5,17.37,0.57,8.26,4.77
2021,59.37,9.4,17.63,0.57,8.29,4.75
2022,59.2,9.3,17.89,0.57,8.32,4.72
2023,59.04,9.2,18.14,0.57,8.35,4.71
